movie_title,mcu_phase,release_date,tomato_meter,audience_score,movie_duration,production_budget,opening_weekend,domestic_box_office,worldwide_box_office
Iron Man,1,2008-05-02,94,91,126,186000000.0,102118668.0,318604126.0,585171547.0
The Incredible Hulk,1,2008-06-13,67,70,112,137500000.0,55414050.0,134806913.0,265573859.0
Iron Man 2,1,2010-05-07,72,71,124,170000000.0,128122480.0,312433331.0,621156389.0
Thor,1,2011-05-06,77,76,113,150000000.0,65723338.0,181030624.0,449326618.0
Captain America: The First Avenger,1,2011-07-22,79,75,124,140000000.0,65058524.0,176654505.0,370569776.0
The Avengers,1,2012-05-04,91,91,143,225000000.0,207438708.0,623357910.0,1515100211.0
Iron Man 3,2,2013-05-03,79,78,130,200000000.0,174144585.0,408992272.0,1215392272.0
Thor: The Dark World,2,2013-11-08,66,75,111,150000000.0,85737841.0,206362140.0,644602516.0
Captain America: The Winter Soldier,2,2014-04-04,90,92,135,170000000.0,95023721.0,259746958.0,714401889.0
Guardians of the Galaxy,2,2014-08-01,92,92,121,170000000.0,94320883.0,333714112.0,770882395.0
Avengers: Age of Ultron,2,2015-05-01,76,83,141,365000000.0,191271109.0,459005868.0,1395316979.0
Ant-Man,2,2015-07-17,83,85,117,130000000.0,57225526.0,180202163.0,518858449.0
Captain America: Civil War,3,2016-05-06,90,89,146,250000000.0,179139142.0,408084349.0,1151918521.0
Doctor Strange,3,2016-11-04,89,86,115,165000000.0,85058311.0,232641920.0,676354481.0
Guardians of the Galaxy Vol. 2,3,2017-05-05,85,87,135,200000000.0,146510104.0,389813101.0,869113101.0
Spider-Man: Homecoming,3,2017-07-07,92,87,133,175000000.0,117027503.0,334201140.0,878346440.0
Thor: Ragnarok,3,2017-11-03,93,87,130,180000000.0,122744989.0,315058289.0,850482778.0
Black Panther,3,2018-02-16,96,79,134,200000000.0,202003951.0,700059566.0,1336494321.0
Avengers: Infinity War,3,2018-04-27,85,91,149,300000000.0,257698183.0,678815482.0,2048359754.0
Ant-Man and the Wasp,3,2018-07-06,87,81,118,130000000.0,75812205.0,216648740.0,623144660.0
Captain Marvel,3,2019-03-08,79,45,124,175000000.0,153433423.0,426829839.0,1129727388.0
Avengers: End Game,3,2019-04-26,94,90,181,400000000.0,357115007.0,858373000.0,2797800564.0
Spider-Man: Far From Home,3,2019-07-02,90,95,129,160000000.0,92579212.0,390532085.0,1132532832.0
Black Widow,4,2021-07-09,79,91,133,200000000.0,80366312.0,183651655.0,379751655.0
Shang-Chi and the Legend of the Ten Rings,4,2021-09-03,91,98,133,150000000.0,75388688.0,224543292.0,432243292.0
Eternals,4,2021-11-05,47,78,157,200000000.0,71297219.0,164870264.0,402064929.0
Spider-Man: No Way Home,4,2021-12-17,93,98,148,200000000.0,260138569.0,803975784.0,1891108035.0
